[5.0-9.0] 各位市長會賓 活動即將開始 請盡速入座 謝謝
[9.0-59.8] 市長會賓 活動即將開始 請盡速入座 謝謝
[59.8-74.9] 市長嘉賓 本次會議將接下來進行的是第六場工作坊
[74.9-78.9] 有請張哲文張老師 謝謝
[78.9-81.9] 好 各位老師大家好
[81.9-85.9] 那 剛剛醫藥師保有休息了一陣子
[85.9-89.9] 對 那我們下午 也是我個人的最後一場
[89.9-91.9] 好 努力的把這場看完這樣子
[91.9-95.9] 那 我想說在下午場開始之前
[95.9-99.9] 我想說先把那個上午有一個小部分沒有結束的地方
[480.2-481.2] 你可以先打PAAA
[481.2-482.2] 那你剛會搜尋
[482.2-483.2] 它應該會幫你搜尋到
[483.2-484.2] 這樣子的一個skill
[484.2-485.2] 已經幫你安裝好了
[485.2-487.2] 然後你把這個路徑貼上去
[487.2-488.2] 然後再按著
[488.2-489.2] 讓它直接去處理
[489.2-490.2] 透過這個
[490.2-491.2] 透過這個
[491.2-492.2] 處理檔案的
[492.2-493.2] 寫好的指令碼
[493.2-494.2] 去處理這一份檔案
[494.2-495.2] 去處理這一份檔案
[495.2-496.2] 資料夾裡面所有的檔案
[496.2-497.2] 資料夾裡面所有的檔案
[497.2-498.2] 對
[498.2-499.2] 因為為了有效率
[499.2-500.2] 所以裡面有的資料
[500.2-501.2] 會相關少一點
[501.2-502.2] 它只有十幾頁而已
[502.2-503.2] 對
[503.2-504.2] 然後就可以讓它跑
[504.2-505.2] 然後就可以讓它跑
[505.2-506.2] 這個跑
[506.2-507.2] 這個跑可能會
[507.2-508.2] 稍微久一點
[508.2-509.2] 大概3到5分鐘左右吧
[509.2-511.2] 那大家有問題可以問
[511.2-515.9] 裝儀號不見得一定要
[515.9-516.9] 可是你按貼上
[516.9-517.9] 它應該就自動會有
[517.9-518.9] 不見得一定要裝儀號
[518.9-519.9] 對
[519.9-548.8] 可以看沒有
[548.8-554.1] 可以步一步來
[554.1-555.1] 你要上一個
[555.1-556.1] 這個按右鍵
[556.1-557.1] 整個按上
[557.1-558.1] 有參與的
[558.1-559.1] 有參與的
[559.1-560.1] 有參與的
[560.1-561.1] 有參與的
[561.1-562.1] 有參與的
[562.1-563.1] 有參與的
[563.1-564.1] 有參與的
[564.1-565.1] 有參與的
[565.1-566.1] 有參與的
[566.1-574.6] 有參與的
[574.6-577.4] 有參與的
[577.4-581.2] 有參與的
[581.2-582.2] 有參與的
[582.2-583.2] 有參與的
[586.2-587.2] 有參與的
[588.2-589.2] 有參與的
[589.2-590.2] 有參與的
[591.2-592.2] 有隨遇的
[592.2-593.2] 有隨聚的
[593.2-594.2] 有隨聚的
[594.2-595.2] 有隨ché
[595.2-596.2] 有隨聚的
[596.2-597.2] 有隨聚的
[609.3-612.3] 這幾個開到
[612.3-613.1] 現在就是
[613.1-613.6] 上 wieder
[613.6-614.1] 上的
[614.1-614.2] 上的
[614.2-616.8] 中國國防部製外交部的函
[616.8-618.6] 然後裡面有一些資料
[618.6-628.7] 這可能對臺灣時間就蠻有用的
[628.7-632.0] 如果他問你說你的執行需要給他許可權
[632.0-633.3] 你就按允許就好
[633.3-634.3] 就按允許
[634.3-638.4] 因為你的沙盒裡面可能已經有一些限制他
[638.4-639.9] 但是基本上沒有太大問題
[639.9-641.2] 你就按允許就好了
[641.2-644.0] 他會自動去呼叫一些東西
[644.0-645.6] 自動去呼叫東西
[673.6-675.1] 他再問他處理
[746.5-748.2] 那我比較懷疑
[779.5-781.1] 我比較懷疑
[809.5-821.6] 就讓他跑一下
[846.5-849.1] 他自動可以隔離
[876.5-971.3] 可以了 看一下
[971.3-981.8] 工作已經跑完了
[981.8-983.8] 大概花了七分鐘的時間跑
[983.8-985.8] 大家可能每個程度不一樣
[985.8-987.8] 每個電腦可能因為傳輸的問題
[987.8-989.8] 可能電腦的CPU的問題
[989.8-990.8] 各方面的原因
[990.8-991.8] 速度會不一樣
[991.8-992.8] 但無論如何
[992.8-993.8] 你跑完之後
[993.8-996.8] 你應該會回到你的Obsidian裡面去
[996.8-1000.8] 然後找到剛剛那個RZ208的資料夾裡面
[1000.8-1001.8] 你可以看一下裡面的圖片
[1001.8-1002.8] 裡面有很多
[1002.8-1005.8] 德國外交部的一些檔案的圖片
[1005.8-1006.8] 你可以稍微看內容
[1006.8-1007.8] 看不懂也沒有關係
[1007.8-1009.8] 你只要知道有這些圖就好了
[1009.8-1010.8] 跑完之後
[1010.8-1016.6] 它下面這裡可以看一下
[1016.6-1017.6] 有這麼多張的檔案裡面
[1017.6-1020.6] 他發現其實有些檔案是同一份卷宗
[1020.6-1022.6] 他會自己辨別到底是哪一份卷宗
[1022.6-1023.6] 像第一個的話
[1023.6-1025.6] 可能就是這幾個是一份卷宗
[1025.6-1026.6] 這是最秀的
[1026.6-1027.6] 這是下面一個
[1027.6-1028.6] 上面兩個的話
[1028.6-1029.6] 可能就只有一兩頁
[1029.6-1031.6] 可是下面這個比較多頁
[1031.6-1032.6] 然後你跑完之後
[1032.6-1033.6] 你可以看一下
[1033.6-1035.6] 他幫你自動命名的
[1035.6-1037.6] 德國外交部檔案的一個
[1037.6-1040.6] 當然我也要把它放到我的論文裡面去
[1040.6-1041.6] 基本的格式
[1041.6-1043.6] 把它當作個標題
[1043.6-1045.6] 然後這有基本的Meta Data
[1045.6-1048.6] 比如說它的檔案號是RZ20886377
[1048.6-1050.6] 他都會幫你先把它設定好
[1050.6-1051.6] 然後檔案款是PAAA
[1051.6-1053.6] 就是德國外交部的意思
[1053.6-1054.6] 然後他錯過辨識
[1054.6-1055.6] 知道這份檔案
[1055.6-1059.6] 應該是1935年1月或1935年2月的時候的檔案
[1059.6-1061.6] 那他有做舊檔案號之類的
[1061.6-1062.6] 他下面有一些圖檔
[1062.6-1064.6] 你再往下拉就可以看到
[1064.6-1065.6] 他已經把這個圖檔
[1065.6-1068.6] 這個圖檔把它放到這個筆記裡面去了
[1068.6-1069.6] 然後除此之外
[1069.6-1071.6] 因為它是打字的檔案
[1071.6-1075.6] 所以他有幫我們做好簡單的OCR
[1075.6-1077.6] 然後就往下拉就看到OCR
[1077.6-1079.6] 然後再往下就看到用OCR的成果
[1079.6-1081.6] 去做簡單的翻譯
[1081.6-1083.6] 那以前我
[1083.6-1085.6] 以前我光要每一個這樣子製作一份
[1085.6-1086.6] 一份的NVIDIA
[1086.6-1087.6] 然後這樣比如說
[1087.6-1088.6] 我這卷中有200多頁
[1088.6-1090.6] 可能就要花很多很多的時間
[1090.6-1093.6] 再更何況我要賦予它這麼多不同的Meta Beta
[1093.6-1094.6] 也要花很多時間
[1094.6-1096.6] 但他現在已經透過有OCR
[1096.6-1097.6] 然後透過這些
[1097.6-1099.6] 他自己的一個流程之後
[1099.6-1102.6] 他已經可以幫你把這些東西全部都先弄好
[1102.6-1103.6] 但很難免會有錯誤
[1103.6-1105.6] 你還是要進行修改
[1105.6-1107.6] 然後就進行閱讀跟修改
[1107.6-1108.6] 那最起碼你們之後
[1108.6-1111.6] 再作為跨文件之間的連結
[1111.6-1112.6] 還有作為閱讀上面
[1112.6-1114.6] 都會變得非常非常的方便
[1114.6-1115.6] 不像以前就是
[1115.6-1118.6] 每次要用都會花很多很多的時間
[1118.6-1119.6] 在處理前置作業
[1119.6-1120.6] 不在閱讀上面
[1120.6-1121.6] 不在閱讀上面
[1121.6-1123.6] 大家可以看到一個這樣子的功能
[1123.6-1124.6] 然後同時呢
[1124.6-1126.6] 因為它可以用德語直接放一層中文
[1126.6-1128.6] 你也可以大概知道這個過程
[1128.6-1129.6] 所以呢
[1129.6-1131.6] 希望大家以後有空回去
[1131.6-1132.6] 可以多試看看
[1132.6-1133.6] 你可以設想一下
[1133.6-1135.6] 你自己在閱讀你的史料的時候
[1135.6-1137.6] 會經過哪些流程
[1137.6-1139.6] 先自己寫一個STILL
[1139.6-1140.6] 然後呢
[1140.6-1141.6] 它一定會有問題
[1141.6-1142.6] 但是你再測試
[1142.6-1143.6] 你再拿一兩頁去測試
[1143.6-1144.6] 然後測試完之後
[1144.6-1145.6] 你發現有一些問題
[1145.6-1146.6] 你再去調整
[1146.6-1147.6] 你再問它
[1147.6-1148.6] 讓它幫你修改
[1148.6-1149.6] 等修改到符合
[1149.6-1151.6] 你真的想要的樣子的時候
[1151.6-1152.6] 這個時候
[1152.6-1154.6] 你就可以去大量的去做測試
[1154.6-1155.6] 那這樣的話
[1155.6-1156.6] 我們的工作流程
[1156.6-1157.6] 就會做自動化
[1157.6-1158.6] 同時為什麼要有個CDN
[1158.6-1159.6] 來放在一起的原因
[1159.6-1160.6] 是因為
[1160.6-1161.6] CDN才能夠把你這個
[1161.6-1164.6] 不同文件之間的連結的關係
[1164.6-1165.6] 還有一些內容
[1165.6-1166.6] 可以進一步的去處理
[1166.6-1168.6] 跟進一步的去最佳化
[1168.6-1169.6] 你不能夠完全只靠廉愛
[1169.6-1170.6] 文件的CDN的原因
[1170.6-1171.6] 就是因為
[1171.6-1173.6] 人一定要自己去做介入跟處理
[1173.6-1174.6] 介度也一樣
[1174.6-1175.6] 那這個東西只能夠幫
[1175.6-1177.6] 當然這個東西只能夠幫你什麼
[1177.6-1179.6] 幫你把東西基本的做好
[1179.6-1180.6] 幫你OCR做好
[1180.6-1181.6] 電視弄好
[1181.6-1183.6] 可是最後的解讀
[1183.6-1184.6] 如果你看在這份檔案
[1184.6-1185.6] 你最下面還是要自己寫
[1185.6-1186.6] 你自己的想法
[1186.6-1188.6] 跟你自己在研究上面
[1188.6-1190.6] 所遇到的一些問題
[1190.6-1191.6] 然後如何去做回應
[1191.6-1192.6] 這也是一個
[1192.6-1194.6] 非常重要的一個過程
[1194.6-1195.6] 這樣的話
[1195.6-1196.6] 我們是處理時間上
[1196.6-1199.6] 就會減少很多很多的時間
[1199.6-1202.6] 那大家如果還沒有跑完的話
[1202.6-1203.6] 等一下可以
[1203.6-1204.6] 你要帶他慢慢跑
[1204.6-1205.6] 我就舉牌下去
[1205.6-1206.6] 我怕時間來不及
[1206.6-1207.6] 我準備了很多
[1207.6-1208.6] 這有100多張PVP
[1208.6-1209.6] 我怕講不完
[1209.6-1210.6] 好
[1210.6-1212.6] 那剛剛這一系的過程
[1212.6-1213.6] 就是這一年多
[1213.6-1215.6] 一年以來最流行
[1215.6-1218.6] 最發展最快的叫做AI Agent
[1218.6-1219.6] 那我們要從
[1219.6-1221.6] 深層次AI的這個發展趨勢裡面
[1221.6-1222.6] 我們去了解一下
[1222.6-1223.6] AI Agent的本質是什麼
[1223.6-1225.6] 如同前面所說的
[1225.6-1226.6] 這個本質基本上呢
[1226.6-1229.6] 還是一個上下文工程的一部分
[1229.6-1231.6] 上下文工程的一部分
[1231.6-1233.6] 當我們問AI問題的時候
[1233.6-1234.6] AI會把很多的
[1234.6-1235.6] 隱藏資料
[1235.6-1237.6] 包含過去的對話紀錄
[1237.6-1238.6] 系統會把這些東西
[1238.6-1240.6] 全部壓縮完之後
[1240.6-1243.6] 再發給大學語言模型
[1243.6-1244.6] 比如說你問你好
[1244.6-1245.6] 這兩個字而已
[1245.6-1246.6] 表面上看起來
[1246.6-1248.6] 對我們來講只有兩個字
[1248.6-1249.6] 實際上電腦裡面呢
[1249.6-1251.6] 已經把前面的對話紀錄
[1251.6-1253.6] 跟你曾經過去使用過的一些東西
[1253.6-1255.6] 還有一些工具的內容
[1255.6-1256.6] 全部打包起來之後
[1256.6-1259.6] 一起傳送給語言模型
[1259.6-1260.6] 其實它有已經
[1260.6-1262.6] 佔了很多很多的文字量
[1262.6-1263.6] 很多的上下文字
[1263.6-1265.6] 只是我們不知道而已
[1265.6-1266.6] 我們不知道文字而已
[1266.6-1267.6] 所以你可以去看一下
[1267.6-1269.6] 就是說你其實問簡單的問題
[1269.6-1271.6] 它會消耗大量的token
[1271.6-1272.6] 那語言模型實際上
[1272.6-1274.6] 它並不會記得前面的聊天紀錄
[1274.6-1275.6] 你每次問它
[1275.6-1277.6] 對它來講都是從零開始
[1277.6-1279.6] 那你覺得它怎樣知道
[1279.6-1281.6] 就是因為前面有這個上下文的關係
[1281.6-1283.6] 那使用者在傳送問題的時候
[1283.6-1285.6] 就會把這些東西全部都加上去
[1285.6-1288.6] 那包含這樣子前面的所有的東西
[1288.6-1290.6] 那上下文比如說好了
[1290.6-1291.6] 最典型的例子比如說
[1291.6-1292.6] 它會把對話紀錄
[1292.6-1294.6] 使用者的問題
[1294.6-1296.6] 還有工作的列表
[1296.6-1297.6] 以前我們問它問題
[1297.6-1298.6] 東西回來給我們
[1298.6-1301.6] 對話是它不會傳送工具列表
[1301.6-1303.6] 它先前來就會把工具的列表
[1303.6-1306.6] 丟給語言模型進去
[1306.6-1307.6] 語言模型透過這個工具列表
[1307.6-1310.6] 就知道它能夠呼叫哪些工具
[1310.6-1313.6] 輸出符合這些呼叫工具的時候
[1313.6-1315.6] 這些工具所需要的引數
[1315.6-1317.6] 所需要的一個指令
[1317.6-1319.6] 它就有辦法去動用它
[1319.6-1321.6] 它就有辦法去控動工具
[1321.6-1322.6] 去
[1322.6-1323.6] 去操作它
[1323.6-1324.6] 一樣裡面還會包括
[1324.6-1325.6] 有一些System Pump
[1325.6-1326.6] 或者User Pump
[1326.6-1328.6] 還有一些臨時的記憶體的東西
[1328.6-1330.6] 全部都會一併的放進去
[1330.6-1331.6] 一併的放進去
[1331.6-1333.6] 那Complex Windows有多大
[1333.6-1335.6] 其實Complex Windows是有侷限的
[1335.6-1338.6] 它通常大概就是以Windows
[1338.6-1340.6] Google Joomla 3.1
[1340.6-1343.6] 大概有105萬的Token
[1343.6-1344.6] 105萬的Token
[1344.6-1345.6] 它搶價很多
[1345.6-1346.6] 那實際上
[1346.6-1348.6] 其實它用越用後來
[1348.6-1349.6] 就會發現都不夠用
[1349.6-1350.6] 都不夠用
[1350.6-1352.6] 所以這也是為什麼
[1352.6-1353.6] 當我們的Token
[1353.6-1354.6] 我們每次問它
[1354.6-1356.6] 說Token越來越多的時候
[1356.6-1357.6] 它會變慢的主因
[1357.6-1358.6] 它會變慢
[1358.6-1359.6] 當你Token越來越多
[1359.6-1360.6] 它計算的結果
[1360.6-1362.6] 其實就會越來越有問題
[1362.6-1364.6] 越來越多的幻覺
[1364.6-1367.6] 那這張圖大概是我自己統合起來
[1367.6-1369.6] 就是2025年年底以來
[1369.6-1373.6] 上下午工程的一個發展的一個趨勢
[1373.6-1376.6] 那這也是一個重要的一個東西
[1376.6-1378.6] 那我會一個一個的稍微講解一下
[1378.6-1380.6] 我們以前過去AI當出現的時候
[1380.6-1381.6] 就是提示詞
[1381.6-1382.6] 提示詞就是說
[1382.6-1384.6] 我們要用怎樣的問法
[1384.6-1386.6] AI才能夠給我們更多
[1386.6-1387.6] 符合我們要的答案
[1387.6-1388.6] 所以有一陣子
[1388.6-1390.6] 非常流行所謂的提示詞的工程
[1390.6-1392.6] 就是要問它什麼
[1392.6-1393.6] 然後它才會告訴我們
[1393.6-1395.6] 真的想要了這樣子
[1395.6-1396.6] 那這是提示詞
[1396.6-1398.6] 可是提示詞有兩種
[1398.6-1400.6] 第一個是使用者的提示詞
[1400.6-1401.6] 使用者的提示詞就是
[1401.6-1403.6] 我們問它那個問題的時候
[1403.6-1404.6] 就叫使用者
[1404.6-1405.6] 不管你問什麼
[1405.6-1406.6] 要什麼提示詞
[1406.6-1407.6] 另外一個叫系統提示詞
[1407.6-1409.6] 就是我們今天在上課
[1409.6-1411.6] 都不知道大家建立一個
[1411.6-1412.6] MD檔
[1412.6-1413.6] 叫做agents.MD
[1413.6-1415.6] 這個就是系統提示詞
[1415.6-1417.6] 這系統提示詞在以前的
[1417.6-1419.6] Church PD的這樣子的對話視窗裡面
[1419.6-1421.6] 其實它也能夠自己去設定
[1421.6-1422.6] 你先跟它講說
[1422.6-1423.6] 你是一個怎麼樣的角色
[1423.6-1425.6] 你可能是一個外科醫生
[1425.6-1427.6] 然後可能是今天要來
[1427.6-1429.6] 幫那個P老師動刀
[1429.6-1430.6] 所以要幹嘛幹嘛
[1430.6-1432.6] 這樣子它就會假設
[1432.6-1433.6] 我今天是一個骨科醫生
[1433.6-1434.6] 我今天要動刀
[1434.6-1435.6] 哪一步哪一步
[1435.6-1436.6] 這個是系統提示詞
[1436.6-1438.6] 要賦予它一個新的角色
[1438.6-1440.6] 一個新的角色
[1440.6-1442.6] 怎麼樣把提示詞弄好呢
[1442.6-1443.6] 就是一個提示詞工程
[1443.6-1445.6] 但是前面我們之前
[1445.6-1447.6] 有一陣子非常流行的東西
[1447.6-1448.6] 所以有時候
[1448.6-1450.6] 你說不是AI不懂
[1450.6-1452.6] 而是因為我們寫得不夠精確
[1452.6-1454.6] AI好像不知道自己
[1454.6-1455.6] AI好像就不知道
[1455.6-1457.6] 你的問題的精確東西是什麼
[1457.6-1459.6] 所以有時候語言能力很重要
[1459.6-1461.6] 要精確地打好自己的語言能力
[1461.6-1463.6] 比如說
[1463.6-1465.6] 比如說好了
[1465.6-1467.6] 西斯恩胖的假設
[1467.6-1469.6] 比如說我是一個講中正的歷史研究者
[1469.6-1471.6] 請不要給我直接的答案
[1471.6-1472.6] 那是一步一步的推理
[1472.6-1473.6] 有邏輯的推理
[1473.6-1475.6] 並且要以有史料的東西
[1475.6-1476.6] 作為證據
[1476.6-1477.6] 這個是西斯恩胖
[1477.6-1478.6] 優斯恩胖就是
[1478.6-1480.6] 講中正喜歡指手
[1480.6-1481.6] 問他這樣子
[1481.6-1483.6] 他就是一個這樣子的過程
[1483.6-1484.6] 那接下來呢
[1484.6-1485.6] 後來就逐漸的發展一個東西
[1485.6-1487.6] 叫上效輪工程
[1487.6-1489.6] 因為AI本身沒有記憶
[1489.6-1491.6] 所以它每次對話都是一個空的
[1491.6-1493.6] 一個全新的
[1493.6-1495.6] 那如何把這個上效輪工程
[1495.6-1496.6] 做得更好
[1496.6-1498.6] 那就變成一個非常大的關鍵
[1498.6-1499.6] 所以
[1499.6-1501.6] 而這個上效輪工程裡面呢
[1501.6-1502.6] 後來呢
[1502.6-1503.6] 人們逐漸的融入了一個工具
[1503.6-1505.6] 叫做Function Calling
[1505.6-1507.6] Function Calling的意思就是說
[1507.6-1509.6] 它把這些AI裡面所有的工具
[1509.6-1511.6] 就是電腦裡面所有的工具
[1511.6-1513.6] 都寫到裡面去了
[1513.6-1514.6] 寫到裡面去了
[1514.6-1515.6] 那如此一來呢
[1515.6-1517.6] 就是這些大型的危險廠商
[1517.6-1518.6] 就可以知道
[1518.6-1519.6] 哇
[1519.6-1521.6] 這個透過這樣子的方式
[1521.6-1523.6] 它就有辦法去調控電腦裡面
[1523.6-1524.6] 需求多多的東西
[1524.6-1525.6] 比如說好了
[1525.6-1527.6] 比如說我今天
[1527.6-1528.6] 想輸入一個
[1528.6-1530.6] 想要有一個所謂的查詢的工具
[1530.6-1531.6] 所以我問電腦
[1531.6-1532.6] 我問它說
[1532.6-1535.6] 我今天想要在我的電腦裡面知道
[1535.6-1538.6] 我有沒有未聞地潮P的資料
[1538.6-1540.6] 它就會呼叫你的電腦裡面的一個資源
[1540.6-1541.6] 第一個就是電腦
[1541.6-1543.6] 你的電腦一定有索引
[1543.6-1545.6] 你的電腦出來就是告訴你的
[1545.6-1547.6] 告訴使用者知道說
[1547.6-1549.6] 你有哪一些的資料給你
[1549.6-1551.6] 所以它就知道你有索引之後
[1551.6-1552.6] 一搜尋
[1552.6-1554.6] 知道你曾經有一個資料寫潮P兩個字
[1554.6-1556.6] 它就會呼叫它
[1556.6-1557.6] 它就知道我要怎麼去哪裡
[1557.6-1559.6] 把這東西調出來
[1559.6-1561.6] 調出來的話就是讀取
[1561.6-1562.6] 它就會讀給你
[1562.6-1564.6] 它就知道這東西是什麼使用
[1564.6-1565.6] 而這個過程中其實
[1565.6-1568.6] 都是用JSON檔案的格式去描述說
[1568.6-1569.6] 我要怎麼呼叫
[1569.6-1571.6] 比如說目錄在哪裡
[1571.6-1573.6] 要透過哪一個程式
[1573.6-1574.6] 去呼叫哪一個工具
[1574.6-1575.6] 然後把它呼叫出來
