[0.1-4.5] 假題為AI如何輔助人設領域學生學習與探索
[308.9-310.9] 首先有需求上來講
[310.9-311.9] 我們知道學生本身
[311.9-314.9] 當然也希望整體的程度能夠提升
[314.9-315.9] 因為少子化的緣故
[315.9-316.9] 我們都覺得說
[316.9-317.9] 現在學生的程度
[317.9-318.9] 不只是理工科系
[318.9-319.9] 人文科系
[319.9-321.9] 應該都有這種感覺
[321.9-324.9] 那AI如果能夠個人化的幫助他
[324.9-325.9] 那當然是有機會
[325.9-327.9] 就是說有機會提升學生的程度
[327.9-329.9] 那另外一個個人化的差異
[329.9-331.9] 也可能因為AI助教
[331.9-333.9] 針對每個學生個別的狀況
[333.9-336.9] 而提供比較適合他的建議
[336.9-337.9] 對不對
[337.9-340.9] 所以也有機會幫助提升學生的程度
[340.9-341.9] 那當然還有教育品權
[341.9-344.9] 因為如果你有提供整個的AI的系統
[344.9-346.9] 而不是讓學生個別的去花錢
[346.9-349.9] 買不同的AI的服務
[349.9-350.9] 那這樣的話
[350.9-351.9] 比較經濟弱化
[351.9-352.9] 如果是一個弱勢的學生
[352.9-353.9] 那通常就會比較沒有辦法
[353.9-355.9] 得到這個部分的資源
[355.9-357.9] 那另外這些都是被動的原因
[357.9-359.9] 還有另外一個主動的原因說
[359.9-360.9] 如果我們能夠善用AI
[360.9-362.9] 創造一個新的環境的話
[362.9-364.9] 它是一種新的學習環境
[364.9-366.9] 它和我們現在的環境是不一樣的
[366.9-369.9] 那這個就有可能帶來新的可能性
[369.9-370.9] 然後當然更重要的是
[370.9-371.9] AI助教是什麼
[371.9-372.9] 可以讓老師在後臺
[372.9-374.9] 可以看到學生做了什麼
[374.9-375.9] 而不是在學生肢體
[375.9-377.9] 就是用他自己個人的帳號
[377.9-378.9] 那這樣的話
[378.9-379.9] 你當然不知道他在做些什麼
[379.9-380.9] 最後
[380.9-382.9] 如果一個好的設計的AI助教
[382.9-383.9] 很可能也可以幫助學生
[383.9-385.9] 更知道怎麼善用AI
[385.9-387.9] 就如同我做一個比喻
[387.9-388.9] 我想我們以前
[388.9-389.9] 我們大概都會開車
[389.9-390.9] 但我們考駕照的時候
[390.9-393.9] 通常都要先用一個
[393.9-394.9] 現在駕照都
[394.9-395.9] 像我兒子剛考過
[395.9-397.9] 他都會有旁邊副駕座
[397.9-399.9] 那邊至少有個煞車嘛
[399.9-400.9] 然後真的有問題的時候
[400.9-402.9] 可以幫你停下來
[402.9-403.9] 像這樣的車子
[403.9-405.9] 和真實的車子是不一樣的
[405.9-406.9] 但是呢
[406.9-408.9] 在剛開始練習的時候
[408.9-409.9] 這是好的
[409.9-411.9] 因為有人坐在旁邊提醒你
[411.9-412.9] 然後必要的時候
[412.9-413.9] 可以幫你停下來
[413.9-414.9] 他可以觀察你
[414.9-415.9] 是做了些什麼事情
[415.9-418.9] 然後提時的提供一些提醒
[418.9-420.9] 這個東西是個暫時的
[420.9-421.9] 但是重要的工具
[421.9-423.9] 而不能說把這個學生
[423.9-424.9] 就丟一臺車給你
[424.9-425.9] 幫你自己去學
[425.9-426.9] 那menu在這裡
[426.9-428.9] 那種通常都是很危險的
[428.9-430.9] 那我們現在的情況就是這樣
[430.9-431.9] 就AI已經available了
[431.9-432.9] 所以學生只要有網路
[432.9-433.9] 通通都可以用
[433.9-434.9] 然後呢
[434.9-435.9] 那我們就只在說
[435.9-436.9] 你要注意喔
[436.9-437.9] 要注意喔
[437.9-438.9] 這有用嗎
[438.9-439.9] 你根本就不知道他在做什麼
[439.9-440.9] 他在喊根本就沒有用的啦
[440.9-441.9] 我們都知道
[441.9-442.9] 這學生不會瞄你的
[442.9-443.9] 對不對
[443.9-444.9] 所以最重要是說
[444.9-447.9] 你要看得到他在做什麼
[447.9-450.9] 這才有機會提時的介入
[450.9-451.9] 那如果這樣的話
[451.9-452.9] 你就要有個工具
[452.9-453.9] 而這個工具不能夠
[453.9-456.9] 只限在一般商業型的AI
[456.9-457.9] 那也另外一個
[457.9-459.9] 最近有一些研究在支援這個
[459.9-461.9] 我只找其中一個
[461.9-462.9] 那這是在UPEN的研究
[462.9-463.9] 所以基本上
[463.9-465.9] 研究的其中結果之一
[465.9-466.9] 他比較的用原始的
[466.9-467.9] transparency
[467.9-469.9] 和所謂transparency
[469.9-470.9] 就是有一個tutor
[470.9-472.9] 就是說有這個AI助教的功能
[472.9-474.9] 他的基本功能只有一件事
[474.9-476.9] 他就是不會說你問他問題
[476.9-477.9] 他就直接告訴你答案
[477.9-480.9] 他會想辦法用蘇格拉底的方式
[480.9-481.9] 是再反問你
[481.9-482.9] 然後讓你再去思考
[482.9-483.9] 再去思考
[483.9-484.9] 他沒有太多功能
[484.9-485.9] 基本上就這樣
[485.9-486.9] 即使是這樣的話
[486.9-487.9] 你就會發現
[487.9-488.9] 使用這種tutor的學生
[488.9-490.9] 他的問問題的次數
[490.9-492.9] 他跟AI互動的次數就增加
[492.9-494.9] 而且他這個非non-trivial的
[494.9-497.9] 這種問題的回答的次數也增加
[497.9-499.9] 然後也讓學生整體的成果
[499.9-501.9] 整體就往上停了
[501.9-502.9] 也就是說
[502.9-504.9] 他至少在某個意義上
[504.9-505.9] 有點防弊的功能
[505.9-507.9] 但是我們也可以想像
[507.9-508.9] 如果你可以有一個
[508.9-509.9] 更好的AI助教設計的話
[509.9-511.9] 他可能不是隻是防弊
[511.9-513.9] 也許他可以做更好的一些應用
[513.9-515.9] 所以這是一種想像
[515.9-516.9] 可以從這個角度來理解
[516.9-517.9] 我最近寫了文章
[517.9-519.9] 大家也可以去看一下
[519.9-522.9] 當然這個AI助教
[522.9-523.9] 更大的一個意義
[523.9-525.9] 它是成為學生自學的平臺
[525.9-527.9] 除了我現在今天講的
[527.9-529.9] 人設的AI助教
[529.9-531.9] 就是我們在這個AI助教
[531.9-532.9] 剛完成
[532.9-533.9] 事實上在三年前
[533.9-534.9] 我們就已經開始在理工科系
[534.9-535.9] 做了一個AI助教
[535.9-536.9] 應該是全臺灣最早的
[536.9-537.9] 確實比剛出來半年
[537.9-538.9] 我們就做出來了
[538.9-540.9] 然後基本上它有一些重要的
[540.9-542.9] 一些能力我們都附在這裡面
[542.9-543.9] 我們叫小泰
[543.9-544.9] 然後他就
[544.9-546.9] 學生是24小時直接跟他溝通的
[546.9-547.9] 所以我現在我自己
[547.9-548.9] 讀的課堂上
[548.9-549.9] 我是鼓勵
[549.9-550.9] 而且甚至辦巧克力學生
[550.9-551.9] 全部都要跟他談
[551.9-552.9] 我在後臺的時候
[552.9-554.9] 可以看到他們在談什麼
[554.9-555.9] 當然除了這樣的話
[555.9-556.9] 老師要做什麼呢
[556.9-557.9] 我可以從後臺上
[557.9-558.9] 把我的獎勵放上去
[558.9-559.9] 所以每一次
[559.9-561.9] 最多使用AI助教是什麼時候
[561.9-562.9] 是我上課前
[562.9-563.9] 因為這是他們可以
[563.9-565.9] 用我的獎勵來複習
[565.9-566.9] 對不起
[566.9-567.9] 預習
[567.9-568.9] 現在學生很少去做預習
[568.9-569.9] 因為他在預習之前
[569.9-571.9] 他自己都看不懂嘛
[571.9-572.9] 那你現在有個AI助教
[572.9-574.9] 可以幫助他看懂
[574.9-576.9] 那這樣他就有機會預習了
[576.9-577.9] 那這樣的話
[577.9-578.9] 甚至還可以放題目
[578.9-580.9] 然後他就自己去批改
[580.9-581.9] 那所以說我們現在助教
[581.9-582.9] 也不改學生作業了
[582.9-583.9] 因為再改就氣死了
[583.9-584.9] 對不對
[584.9-585.9] 學生都用AI操
[585.9-587.9] 你還會花時間幫他改
[587.9-588.9] 那就這樣
[588.9-589.9] 他改就好啦
[589.9-590.9] 那一樣
[590.9-591.9] 你可以用別的方式來換
[591.9-593.9] 那當然我們實習互動
[593.9-594.9] 也因為這樣有些改變
[594.9-595.9] 對不對
[595.9-596.9] 那總而言之
[596.9-597.9] 那它的效果是什麼
[597.9-599.9] 我用這張圖來表達
[599.9-601.9] 這張圖是大概去年度的學生
[601.9-602.9] 他的第一學期
[602.9-604.9] 跟第二學期的批分數
[604.9-605.9] 這一群學生
[605.9-606.9] 不是所有學生
[606.9-607.9] 這一群學生是
[607.9-609.9] 他是使用小胎特別多
[609.9-612.9] 而且都是比較是高合作性的
[612.9-613.9] 比如說他在
[613.9-614.9] 我們可以後臺去分析
[614.9-615.9] 他的
[615.9-616.9] 如果他的問題本身是
[616.9-618.9] 能夠表達出他自己想法
[618.9-619.9] 的學生
[619.9-620.9] 那你會看到他多半的分佈
[620.9-622.9] 會在那個對角線之上
[622.9-623.9] 代表說
[623.9-624.9] 他以前批分數就相當於
[624.9-626.9] 他的那個排名
[626.9-627.9] 就全班的排名
[627.9-628.9] 不是絕對分數
[628.9-629.9] 就排名呢
[629.9-631.9] 是傾向於提升的
[631.9-632.9] 那還有另外一個對照組
[632.9-634.9] 那對照組就是用的比較少的學生
[634.9-636.9] 通常排名就往後掉
[636.9-638.9] 因為有人升就往後掉
[638.9-639.9] 所以說而且
[639.9-640.9] 比較多提升的
[640.9-641.9] 多在什麼
[641.9-643.9] 中段的學生
[643.9-644.9] 不是前段
[644.9-646.9] 因為前段沒什麼提升的空間了
[646.9-647.9] 但是中段的學生
[647.9-648.9] 他提升空間會比較多
[648.9-649.9] 所以我們覺得說
[649.9-651.9] 這是有可能的
[651.9-653.9] 那他的基本架構是這樣
[653.9-654.9] 就跟剛剛所提到的
[654.9-656.9] 張老師提到HARNET
[656.9-657.9] 就是同一件事
[657.9-658.9] 就是你的學生
[658.9-659.9] 在使用的時候
[659.9-660.9] 透過他的中端裝置
[660.9-661.9] 到這個AI之間
[661.9-663.9] 我們把它先攔下來
[663.9-665.9] 他寫的東西呢
[665.9-666.9] 我們去經過一些處理
[666.9-667.9] 再傳回到AI
[667.9-669.9] 然後AI給我們東西
[669.9-670.9] 我們再去處理
[670.9-671.9] 再給學生
[671.9-672.9] 所以學生看到的
[672.9-674.9] 不是原始的AI會搞他的問題
[674.9-675.9] 那你說為什麼要這樣
[675.9-676.9] 就是為了要讓他
[676.9-677.9] 製造一個環境
[677.9-678.9] 而不是
[678.9-679.9] 單純的
[679.9-680.9] 用原始的AI來互動
[680.9-681.9] 如果這樣的話
[681.9-682.9] 我們就不需要了
[682.9-683.9] 就是因為在這個過程當中
[683.9-684.9] 我們可以把它攔截下來
[684.9-685.9] 所以我們知道
[685.9-686.9] 他們做了些什麼事
[686.9-688.9] 也可以透過我們的後臺
[688.9-690.9] 去給他做一些Manipulate
[690.9-691.9] Manipulate不是說
[691.9-692.9] 他講話去改
[692.9-693.9] 而是說
[693.9-694.9] 加了一些System Prompt
[694.9-695.9] 剛剛老師講的
[695.9-696.9] 就是一些隱藏的
[696.9-697.9] 在系統裡面的
[697.9-699.9] 或者一些設計
[699.9-701.9] 讓這個學生得到這個結果
[701.9-704.9] 不是用他原始的結果
[704.9-706.9] 而是經過一些架構
[706.9-707.9] 讓他可以比較
[707.9-709.9] 不會那麼利誤
[709.9-711.9] 不會直接的發生他的答案
[711.9-712.9] 例如他可以用
[712.9-713.9] 比較用比喻的方式
[713.9-715.9] 或比較用白話文的方式
[715.9-716.9] 向他做解釋
[716.9-718.9] 或者例如他可以扮演角色
[718.9-719.9] 角色扮演
[719.9-721.9] 今天學生不是隻是來問問題
[721.9-724.9] 而且學生必須要去教AI
[724.9-726.9] 說他會的東西
[726.9-727.9] 這是我們內建
[727.9-728.9] 就有這樣的功能
[728.9-729.9] 然後那你說
[729.9-730.9] 學生為什麼要用呢
[730.9-731.9] 那就出作業
[731.9-732.9] 我覺得作業就是
[732.9-733.9] 你要跟AI有這種功能
[733.9-735.9] 然後你談個至少十輪二十輪
[735.9-737.9] 然後你把他教上來
[737.9-738.9] 就這樣啊
[738.9-739.9] 那教上來
[739.9-740.9] 當然我怎麼評分
[740.9-741.9] 那沒關係
[741.9-742.9] 你只要教我就給你分數
[742.9-743.9] 可是至少讓他知道說
[743.9-744.9] 在這個過程當中
[744.9-745.9] 他要對某一個概念
[745.9-747.9] 他要自己可以表達出來
[747.9-748.9] 大家可以瞭解嗎
[748.9-749.9] 你可以表達
[749.9-750.9] 跟你只是會問
[750.9-752.9] 就是兩個不同的層次
[752.9-753.9] 但是他表達得好不好
[753.9-754.9] 那反正AI會反正
[754.9-755.9] 不斷的問他嘛
[755.9-756.9] 他被問
[756.9-758.9] 他也會覺得不好意思
[758.9-759.9] 沒有弄懂的
[759.9-760.9] 他會想辦法弄懂
[760.9-761.9] 至少他會知道
[761.9-762.9] 他沒有懂
[762.9-763.9] 所以說類似像這樣
[763.9-765.9] 就是一種工具
[765.9-767.9] 所以我在想說
[767.9-768.9] 我們應該也可以對人生領域
[768.9-770.9] 可以開發類似的AI資料
[770.9-772.9] 讓他目的並不是在給答案
[772.9-773.9] 不是給摘要
[773.9-775.9] 而是陪伴這個過程
[775.9-776.9] 所以說他重點
[776.9-777.9] 可能可以改成過程
[777.9-778.9] 這也是可以
[778.9-780.9] 那他怎麼樣做呢
[780.9-781.9] 那比例來講
[781.9-782.9] 我們的設計
[782.9-784.9] 大概是有這三個階段
[784.9-785.9] 那下面是連結
[785.9-786.9] 大家有興趣的話
[786.9-787.9] 可以
[787.9-788.9] 你手機可以照一下
[788.9-789.9] 可以用
[789.9-790.9] 或者我投影片給你們
[790.9-792.9] 現在我們這邊是有公開可以使用的
[792.9-794.9] 但是公開是學生使用的版本
[794.9-795.9] 但老師的版本
[795.9-797.9] 因為要有課程嘛
[797.9-799.9] 所以也沒有公開
[799.9-801.9] 那這邊是有些簡介的說明
[801.9-803.9] 那第一階段是這樣
[803.9-804.9] 我等一下會講解
[804.9-807.9] 第一階段我們上傳這個文字之後呢
[807.9-809.9] 然後會先做後面的去判讀
[809.9-811.9] 去做一些分析
[811.9-813.9] 那這個也是院長最重要的貢獻
[813.9-815.9] 讓我們有一個架構
[815.9-816.9] 去怎麼分析這個文字
[816.9-817.9] 但是重點是分析的結果
[817.9-818.9] 不會告訴學生
[818.9-820.9] 它是隱藏的
[820.9-822.9] 這樣的話確保說
[822.9-824.9] 學生跟AI在互動的時候
[824.9-826.9] 他是有一個足夠
[826.9-827.9] 可控的
[827.9-828.9] 靠的內涵
[828.9-830.9] 核心去來做對話
[830.9-833.9] 而不是靠AI它原始的
[833.9-835.9] 那種LM的原始的
[835.9-837.9] 文字接融的能力來對話
[837.9-838.9] 因為這樣的話
[838.9-840.9] 會確保學生所得到的品質
[840.9-841.9] 可以更高一點
[841.9-843.9] 但是學生不會直接的看到這個結果
[843.9-845.9] 那它第二步就是對話
[845.9-848.9] 就透過不同的人設的設定
[848.9-849.9] 然後還有一些
[849.9-851.9] 非線性的對話流程
[851.9-853.9] 然後讓這個對話可以被擴充套件出去
[853.9-855.9] 最後呢就是要做狩獵
[855.9-856.9] 然後它可以做筆記
[856.9-857.9] 然後可以說整理
[857.9-858.9] 然後到最後
[858.9-860.9] 收獵成學生字型的報告
[860.9-861.9] 那等一下
[861.9-863.9] 再講細節的過程
[863.9-865.9] 那這個它怎麼樣去分析這個文字
[865.9-867.9] 那就是院長提供我們說
[867.9-868.9] 有一個Hyton White
[868.9-869.9] 我想大家都應該知道
[869.9-872.9] 那個有名的歷史文學的研究者
[872.9-874.9] 那它一個Meta-history
[874.9-875.9] 這種概念
[875.9-877.9] 就是幫助我們去用語言學的方式
[877.9-879.9] 去理解這個歷史
[879.9-880.9] 那它這樣的話
[880.9-882.9] 就間接的也可以應用到文學層面
[882.9-884.9] 那當然你再把哲學
[884.9-885.9] 社會學的概念
[885.9-886.9] 把它放進來
[886.9-888.9] 所以我們就是跟AI討論
[888.9-889.9] 討論到後來說
[889.9-890.9] 我們怎麼樣把這個東西
[890.9-892.9] 放在它這個架構裡面
[892.9-894.9] 那所以說它基本上有四層
[894.9-897.9] 從修辭 形結 論證 到意識
[897.9-899.9] 我想各位搞不好比我都很知道
[899.9-900.9] 那它把這個文字
[900.9-902.9] 用這個四個層次來分析
[902.9-904.9] 那它就提供了一種
[904.9-906.9] 我們作為AI助教
[906.9-908.9] 它內在的一個
[908.9-910.9] 對這個文字的理解
[910.9-911.9] 所以我現在重點是說
[911.9-913.9] 我們的功能並不是說
[913.9-915.9] 什麼包山包山
[915.9-916.9] 我們現在AI助教
[916.9-918.9] 是強調在文字這件事情
[918.9-920.9] 因為人設領域有共同的特性
[920.9-921.9] 應該是說
[921.9-924.9] 學生都要能夠認真深度的讀經典的文字
[924.9-926.9] 我想這是大家都同意的
[926.9-928.9] 那當然各個分科以後
[928.9-929.9] 還有很多需要做的
[929.9-930.9] 要做填譯的
[930.9-931.9] 要做調查
[931.9-932.9] 要訪問
[932.9-934.9] 那些部分以後再說
[934.9-936.9] 那至少你要先做一些文字的
[936.9-938.9] 沙理的要閱讀
[938.9-940.9] 那至少我們可以幫助學生
[940.9-942.9] 也許在這件事情上如果有做好
[942.9-943.9] 那後面其他的事情
[943.9-945.9] 那當然就再慢慢看
[945.9-946.9] 好
[946.9-947.9] 然後第二件事情
[947.9-948.9] 那同時呢
[948.9-950.9] 我們也會從人設領域
[950.9-951.9] 各大領域提供資料
[951.9-952.9] 同一個文字呢
[952.9-954.9] 我們從文學、史學、哲學、社會學
[954.9-955.9] 四個名項
[955.9-958.9] 同時就有四個agent去做分析
[958.9-959.9] 那原因是因為
[959.9-960.9] 大家也知道
[960.9-962.9] 這個人設裡面的很多東西
[962.9-963.9] 可以從不同角度來看
[963.9-964.9] 我想你們都清楚
[964.9-966.9] 所以說這個部分整理的東西
[966.9-968.9] 就是放在AI的內部
[968.9-970.9] 那如果是一個課程搭配起來的話
[970.9-971.9] 這個東西就是
[971.9-972.9] 文字就是老師給的
[972.9-973.9] 就例如說這個禮拜
[973.9-974.9] 你要看三篇文章
[974.9-976.9] 就老師從後臺給出去
[976.9-978.9] 學生在前臺就看到這個文章
[978.9-979.9] 學生要想辦法
[979.9-980.9] 跟這個文章對話
[980.9-981.9] 跟這個AI對話
[981.9-983.9] 但是老師可以看到
[983.9-985.9] 這一個AI怎麼去分析這個文字
[985.9-987.9] 如果有必要的話
[987.9-988.9] AI可以去修正
[988.9-989.9] 老師可以去修正它
[989.9-990.9] 不是AI修正它
[990.9-991.9] 老師可以去改正它
[991.9-992.9] 說你這個分析的
[992.9-993.9] 還有點不到位
[993.9-994.9] 我再補充一點
[994.9-995.9] 這樣是可能的啊
[995.9-996.9] 那這樣的話
[996.9-997.9] 老師是不是就介入到
[997.9-998.9] 學生的學題了
[998.9-999.9] 所以重點是說
[999.9-1000.9] 我們透過這種
[1000.9-1003.9] 還有外的四層的結構
[1003.9-1004.9] 是保證的
[1004.9-1005.9] 就是它的深度
[1005.9-1007.9] 然後用跨領域提問
[1007.9-1008.9] 來擴充套件它的範圍
[1008.9-1010.9] 那最後需要的是什麼
[1010.9-1011.9] 這些東西都不會
[1011.9-1012.9] 直接顯現出來
[1012.9-1014.9] 那最後需要的是什麼
[1014.9-1015.9] 學生的參與
[1015.9-1016.9] 那學生必須要提出
[1016.9-1017.9] 他自己的問題
[1017.9-1018.9] 提出他自己
[1018.9-1020.9] 觀察這個文字的一些觀點
[1020.9-1022.9] 然後AI來跟他互動
[1022.9-1024.9] 那他的互動模式是這樣的
[1024.9-1025.9] 我們有三種模式
[1025.9-1027.9] 那一開始D4是引導者
[1027.9-1028.9] 但是學生可以自己去
[1028.9-1029.9] 選擇其他的
[1029.9-1031.9] 那以後也許我們會讓AI
[1031.9-1032.9] 自己來判斷
[1032.9-1034.9] 來用什麼身份來跟他
[1034.9-1035.9] 對話
[1035.9-1036.9] 那大家就看名字就知道
[1036.9-1037.9] 引導就是引導他
[1037.9-1038.9] 然後這個批判
[1038.9-1040.9] 就是想辦法提供另外一個觀點
[1040.9-1042.9] 他要去跟他去辯論
[1042.9-1043.9] 然後探索者就是說
[1043.9-1045.9] 如果你在這個方面有點卡住
[1045.9-1046.9] 那也許我給你另外一個角度
[1046.9-1048.9] 去想想看
[1048.9-1049.9] 那這個目的呢
[1049.9-1050.9] 它背後都是想一個
[1050.9-1053.9] 想共享一個底層的地圖
[1053.9-1054.9] 那這個地圖
[1054.9-1055.9] 等一下有興趣的話
[1055.9-1056.9] 我再跟大家介紹
[1056.9-1057.9] 因為時間關係
[1057.9-1058.9] 如果等一下有興趣
[1058.9-1060.9] 我再給大家看
[1060.9-1061.9] 那給大家看一下
[1061.9-1063.9] 這個引導者的我們的設計
[1063.9-1064.9] 就是這是他的目的
[1064.9-1065.9] 這個目的
[1065.9-1066.9] 這個計算機
[1066.9-1067.9] 有兩百多行
[1067.9-1069.9] 這個只是它的大概三分之一
[1069.9-1071.9] 所以這不是你個人在寫的時候
[1071.9-1072.9] 會寫出來的
[1072.9-1073.9] 因為大家應該知道說
[1073.9-1074.9] 你要怎麼樣質問不答
[1074.9-1076.9] 然後你的題材要從哪裡
[1076.9-1078.0] 你目的
[1078.0-1078.9] 他把這個地圖是
[1078.9-1082.9] 帶領學生進到地圖裡面
[1082.9-1084.9] 學生決定他要從哪個角度進去
[1084.9-1086.3] 這是他自己的決定
[1086.3-1087.9] 但是他後來要問更深的時候
[1087.9-1088.9] 他會
[1088.9-1089.9] 因為我看到這個地圖
